location,type,bedrooms,bathrooms,parking,log_area,log_price
Kennedy,Local,3,4.0,0,4.787491742782046,20.60673202069046
Chapinero,Local,3,1.0,1,2.995732273553991,18.890684373198102
Suba,Casa,4,3.0,1,5.598421958998375,20.560746907448635
Pasadena ,Oficina,3,2.0,1,3.6888794541139363,20.049921283682647
Ricaurte,Casa,3,2.0,0,5.529429087511423,21.51172319731068
Colinas De Suba,Casa,4,3.5,1,5.978885764901122,21.46520318167579
Colinas De Suba,Apartamento,3,4.0,0,5.318119993844216,21.365119723118806
Usaquén,Apartamento,4,4.5,1,6.016157159698354,21.971733881158897
Suba,Apartamento,3,3.5,0,5.1647859739235145,20.94640938826062
Colinas De Suba,Casa,3,3.5,1,5.2832037287379885,20.86302777932157
Alhambra,Apartamento,3,3.0,1,5.214935757608986,20.394761769974377
Chapinero,Apartamento,3,2.5,1,4.867534450455582,20.89721914406985
Chico Reservado,Apartamento,2,2.5,1,5.030437921392435,21.242059630361577
Usaquén,Apartamento,2,2.0,1,4.804021044733257,20.818576016750736
Fontibón,Oficina,3,1.0,1,4.836281906951478,21.217962078782516
Chapinero,Apartamento,3,3.5,1,5.337538079701318,14.22097566607244
San Patricio,Apartaestudio,3,1.0,0,3.713572066704308,20.16114691879287
El Virrey,Apartamento,3,2.5,1,5.075173815233827,21.282881624881835
Usaquén,Apartamento,2,2.0,1,4.605170185988092,20.36659089300768
Usaquén,Apartamento,2,2.5,1,4.499809670330265,20.871685842064686
Usaquén,Apartaestudio,3,1.0,0,3.1354942159291497,19.08851011652802
San Patricio,Apartaestudio,3,1.0,1,3.713572066704308,20.21244021318042
Barrios Unidos,Oficina,5,2.5,1,6.1092475827643655,21.365119723118806
Barrancas,Oficina,3,2.0,1,5.497168225293202,21.46520318167579
El Chicó,Apartamento,3,3.5,1,5.298317366548036,20.94640938826062
Barrios Unidos,Oficina,3,3.0,1,5.796057750765372,21.734866748624892
Chapinero,Apartamento,2,2.0,1,4.770684624465665,20.36659089300768
Pasadena ,Oficina,3,2.0,1,3.970291913552122,20.36659089300768
Suba,Oficina,3,2.0,1,3.9889840465642745,20.069339369539748
Engativa,Local,3,2.0,0,4.787491742782046,22.004199682408476
Usaquén,Oficina,3,2.0,0,3.8066624897703196,19.67344371244773
Engativa,Casa,7,3.0,1,3.970291913552122,19.768753892252057
Normandia,Casa,16,17.0,1,6.29156913955832,21.365119723118806
Pasadena ,Oficina,3,2.0,1,3.8918202981106265,20.21244021318042
Normandia,Local,3,1.0,0,4.060443010546419,20.009915949068947
Antonio Nariño,Casa,3,3.0,0,4.700480365792417,20.359422403529067
Mazuren,Local,3,2.0,0,3.7612001156935624,19.659054974995634
Cabrero,Apartamento,4,4.5,1,5.991464547107982,21.639556568820566
Alhambra,Apartamento,4,3.0,1,4.844187086458591,20.36659089300768
El Chicó,Oficina,3,2.5,1,4.406719247264253,20.292482920853956
Chapinero,Apartamento,4,4.0,1,5.4116460518550396,21.52974170281336
Barrios Unidos,Casa,5,3.5,1,5.170483995038151,20.560746907448635
Los Rosales,Apartamento,3,3.0,1,5.030437921392435,20.905587393740365
Chico Norte,Apartamento,3,2.0,1,4.499809670330265,20.292482920853956
Quinta Camacho,Oficina,4,4.0,0,4.941642422609304,20.818576016750736
Suba,Oficina,3,2.0,1,3.7376696182833684,19.946737047447414
Santa Barbara,Oficina,3,1.0,0,5.214935757608986,21.716517609956693
San Diego,Oficina,3,2.0,0,6.263398262591624,21.46520318167579
San Diego,Oficina,3,2.0,0,6.263398262591624,21.590366324629795
Chapinero,Oficina,3,1.0,0,3.5263605246161616,18.890684373198102
Chapinero,Oficina,3,4.0,0,4.663439094112067,20.431575743097092
Barrios Unidos,Oficina,8,5.0,0,6.1092475827643655,21.193269466192145
Barrancas,Oficina,3,2.0,0,4.543294782270004,20.16114691879287
El Retiro,Oficina,3,4.0,0,5.318119993844216,21.75288525412757
Barrancas,Oficina,3,2.0,0,4.51085950651685,20.49919873428992
El Virrey,Oficina,3,1.0,0,4.356708826689592,20.40855509210671
Barrancas,Oficina,1,2.0,0,4.48863636973214,20.401682212818947
El Chicó,Oficina,3,2.0,0,4.07753744390572,20.380775527999635
Niza,Casa,5,5.0,1,5.407171771460119,20.954377557909798
El Chicó,Oficina,3,1.0,0,4.465908118654584,20.818576016750736
Engativa,Oficina,1,6.0,0,6.214608098422191,21.416413017506358
Normandia,Apartamento,2,2.0,1,4.30406509320417,20.09832874157615
Fontibón,Apartamento,3,2.0,1,5.6240175061873385,20.125428836190792
Fontibón,Apartamento,3,2.0,1,5.6240175061873385,19.98929666186621
Gran Granada,Apartamento,3,2.0,1,4.290459441148391,19.96824325266838
Suba,Casa,6,2.0,1,4.852030263919617,20.125428836190792
Engativa,Casa,6,4.0,1,5.517452896464707,20.584003769612902
Normandia,Apartamento,5,2.0,0,4.795790545596741,19.879295766651882
Gran Granada,Apartamento,3,2.0,0,4.219507705176107,19.742436583934683
Engativa,Casa,9,3.0,0,5.6240175061873385,20.60673202069046
Tintala,Apartamento,2,2.0,0,3.970291913552122,19.467999738232926
Gran Granada,Apartamento,3,2.0,0,4.406719247264253,19.946737047447414
Engativa,Casa,5,3.0,1,5.634789603169249,20.617905321288585
Engativa,Casa,5,3.0,1,4.74493212836325,20.315297598620127
Engativa,Casa,4,2.0,1,5.438079308923196,20.63988422800736
Santa Barbara,Apartamento,4,5.0,1,5.262690188904886,20.905587393740365
La Uribe,Apartamento,3,2.5,1,4.672828834461906,20.261230377349854
Engativa,Casa,4,2.0,0,4.143134726391533,19.296149481306266
El Retiro,Oficina,3,2.0,0,4.700480365792417,20.43558376449463
Barrancas,Oficina,7,2.0,0,5.5053315359323625,21.79038745852315
Chapinero,Oficina,3,3.0,0,4.787491742782046,20.632246438559243
La Candelaria,Oficina,3,1.0,0,4.04305126783455,19.204582287780774
El Chicó,Oficina,3,1.0,0,4.356708826689592,20.905587393740365
Chico Reservado,Apartamento,3,2.0,0,4.867534450455582,20.818576016750736
Engativa,Local,3,1.0,0,3.8918202981106265,19.781657297087968
Niza,Apartamento,2,3.5,1,5.6240175061873385,20.86302777932157
San Cristobal,Apartamento,2,2.0,0,4.276666119016055,19.67344371244773
Santa Barbara,Apartamento,2,3.0,1,5.6240175061873385,21.078840175441112
Usaquén,Casa,3,3.0,1,5.6240175061873385,20.43558376449463
Santa Barbara,Apartamento,2,3.0,1,4.48863636973214,20.16114691879287
Usaquén,Apartamento,2,2.0,1,5.6240175061873385,20.40855509210671
Santa Barbara,Apartamento,2,3.0,1,5.6240175061873385,20.11629635262752
San Diego,Oficina,3,2.0,1,6.263398262591624,21.716517582178916
El Chicó,Apartamento,1,2.0,0,3.970291913552122,20.433346839108196
El Chicó,Apartamento,2,3.0,0,4.532599493153256,21.065555794904267
El Chicó,Apartamento,5,5.0,0,5.4116460518550396,21.253894088008582
Bosque De Pinos,Apartamento,3,2.0,1,5.6240175061873385,20.905587393740365
Cerros De Suba,Casa,4,6.0,0,5.676753802268282,20.985630101413904
El Chicó,Apartamento,2,3.0,0,4.736198448394496,21.27317221791846
Suba,Casa,3,5.0,0,5.703782474656201,21.365119723118806
Usaquén,Casa,5,3.0,0,5.4510384535657,20.905587393740365
Chapinero,Oficina,3,2.0,0,3.5263605246161616,18.890684373198102
Chapinero,Apartamento,4,4.0,0,5.19295685089021,21.19264427079823
Chapinero,Oficina,3,2.0,0,3.5263605246161616,18.890684373198102
Chapinero,Apartamento,4,4.0,0,5.19295685089021,21.19264427079823
