location,type,bedrooms,bathrooms,parking,log_area,log_price
El Chicó,Oficina,2,1.0,0,5.6240175061873385,21.43425293563469
Chico Norte,Oficina,3,2.0,0,5.075173815233827,21.82187812561452
Metropolis,Local,3,2.0,0,3.58351893845611,20.303194576448885
Metropolis,Local,3,2.0,0,3.5553480614894135,20.209101311914907
Metropolis,Local,3,2.0,0,2.9444389791664403,19.80196256324871
Ciudad Bolívar,Local,3,2.0,0,5.1298987149230735,21.071807797654955
Barrancas,Oficina,3,2.0,0,4.955827057601261,20.7862406361078
Kennedy,Local,3,2.0,0,5.6240175061873385,20.17853866150474
San Patricio,Oficina,3,2.0,0,4.927253685157205,20.72326583694641
Quinta Camacho,Oficina,3,2.0,0,5.877735781779639,21.819854880233255
Usaquén,Oficina,3,2.0,0,4.584967478670572,20.125428836190792
Ricaurte,Apartamento,2,1.0,0,5.6240175061873385,19.28567818143897
Santa Barbara,Apartamento,3,4.0,1,5.6240175061873385,21.75288525412757
Chapinero Central,Oficina,3,2.0,0,4.0943445622221,19.80384521206333
Usaquén,Local,3,2.0,0,5.241747015059643,21.622613848090253
Kennedy,Apartamento,3,2.0,0,5.6240175061873385,19.44672233978564
Ciudad Bolívar,Apartamento,3,2.0,0,4.007333185232471,19.275096072108433
Villa Alsacia,Apartamento,3,2.0,0,4.110873864173311,19.539095659916654
Kennedy,Apartamento,3,2.0,0,5.6240175061873385,19.623653047944718
Metropolis,Local,3,2.0,0,3.6109179126442243,20.38499197837857
Santa Barbara,Apartamento,2,2.0,1,5.6240175061873385,20.40855509210671
Chapinero Central,Oficina,3,1.0,0,4.1588830833596715,19.87050139532696
Chico Reservado,Oficina,3,2.0,1,5.0106352940962555,21.059738073567623
Los Mártires,Apartamento,2,1.0,0,5.6240175061873385,19.091070937389695
Kennedy,Apartamento,2,1.0,0,5.6240175061873385,19.231610960168695
Kennedy,Apartamento,2,2.0,1,5.6240175061873385,19.90228528487658
Usaquén,Apartamento,5,5.0,1,5.6131281063880705,21.101702272666657
Modelia,Oficina,3,1.0,0,3.7376696182833684,19.519293032620475
Los Rosales,Casa,7,4.0,1,6.304448802421981,21.75288525412757
Metropolis,Oficina,3,2.0,0,3.713572066704308,19.853381477886412
Chapinero,Oficina,3,2.0,0,4.564348191467836,19.93492846938272
Teusaquillo,Apartamento,3,2.0,1,4.584967478670572,20.661390433228323
Colinas De Suba,Casa,3,2.0,1,5.6240175061873385,20.86302777932157
San Patricio,Apartamento,3,3.0,1,4.919980925828125,20.905587393740365
Ciudad Bolívar,Apartamento,3,2.0,0,5.6240175061873385,19.186148586091935
Usme,Apartamento,3,1.0,0,5.6240175061873385,18.924481752781393
Usme,Apartamento,3,1.0,0,5.6240175061873385,18.963005034777726
San Cristobal,Apartamento,3,2.0,0,5.6240175061873385,19.283570699099407
Kennedy,Apartamento,3,2.0,0,5.6240175061873385,19.509242696766975
Usme,Apartamento,3,2.0,0,5.6240175061873385,19.0140075892301
Nueva Autopista,Casa,5,4.0,1,5.6240175061873385,21.75288525412757
Chico Norte,Oficina,3,2.0,0,4.787491742782046,20.5001222856322
Usaquén,Oficina,1,1.0,1,5.6240175061873385,19.209138104316636
Santa Barbara,Oficina,3,1.0,1,4.0943445622221,19.806975105072254
Bella Suiza,Apartamento,3,5.5,1,5.176149732573829,20.905587393740365
San Cristobal,Apartamento,2,1.0,0,5.6240175061873385,18.903106893196657
Santa Barbara,Apartamento,3,3.0,1,5.153291594497779,20.70306312962889
Puente Aranda,Apartamento,2,1.0,0,5.6240175061873385,19.244856186918714
Chapinero Alto,Apartamento,2,3.0,1,5.924255797414532,20.94640938826062
El Virrey,Oficina,3,2.0,0,2.8903717578961645,18.643824295266576
Engativa,Apartamento,2,1.5,1,5.6240175061873385,19.67344371244773
Florida Blanca,Casa,10,7.5,1,6.267200548541362,21.556174959881517
Antonio Nariño,Casa,3,3.0,0,5.6240175061873385,20.315297598620127
Restrepo,Local,3,3.0,0,5.1298987149230735,20.819701097246615
Suba,Casa,4,3.5,1,5.480638923341991,20.772056001115843
Chapinero,Apartamento,2,3.0,1,5.135798437050262,20.985630101413904
Usaquén,Oficina,5,2.0,1,5.6240175061873385,21.338451476036646
Santa Barbara,Local,3,2.0,1,3.044522437723423,19.39587037414424
La Candelaria,Local,3,2.0,1,6.139884552226255,20.48602336252045
Niza,Casa,3,2.0,0,5.703782474656201,20.17853866150474
Usaquén,Apartamento,3,2.0,0,4.219507705176107,20.044021561555457
Metropolis,Local,3,2.0,1,5.6240175061873385,21.805450478679596
Cedritos,Apartamento,3,2.0,1,4.477336814478207,20.092154047305918
Fontibón,Local,3,2.0,0,3.295836866004329,20.36659089300768
Ciudad Bolívar,Apartamento,3,2.0,1,4.02535169073515,19.364975672236117
Fontibón,Local,3,2.0,0,3.295836866004329,20.36659089300768
Ciudad Bolívar,Apartamento,3,2.0,1,4.02535169073515,19.364975672236117
Usaquén,Apartamento,3,3.0,0,4.653960350157523,19.855765269241687
Usaquén,Apartamento,3,2.0,1,4.382026634673881,20.009915949068947
Suba,Apartamento,2,1.0,1,3.6888794541139363,19.177741250255963
Los Rosales,Apartamento,3,3.0,1,5.6240175061873385,21.094829393378895
Ricaurte,Apartamento,1,1.0,0,3.332204510175204,19.162618088681743
Suba,Apartamento,3,2.0,0,4.465908118654584,20.171618218660164
Engativa,Apartamento,3,1.0,0,3.8066624897703196,19.6146032124248
Usaquén,Apartamento,3,3.0,1,5.135798437050262,20.818576016750736
Usaquén,Casa,6,5.0,1,5.780743515792329,20.352202155555577
Suba,Casa,8,4.0,0,5.393627546352362,19.781657297087968
Chico Norte,Local,3,2.0,0,5.6240175061873385,21.99355630710547
Bella Suiza,Apartamento,3,3.0,1,5.6240175061873385,20.292482920853956
Ciudad Bolívar,Apartamento,3,1.0,0,3.7612001156935624,19.296149481306266
Teusaquillo,Local,3,3.0,1,5.6240175061873385,20.560746907448635
Quinta Camacho,Oficina,3,1.0,1,3.091042453358316,18.890684373198102
Suba,Casa,3,2.0,1,4.248495242049359,19.328939304129257
Santa Barbara,Apartamento,3,2.5,1,4.700480365792417,20.125428836190792
Santa Barbara,Oficina,3,1.0,0,3.295836866004329,19.008467408854486
Barrios Unidos,Local,3,7.0,0,5.6240175061873385,22.01524951859506
El Retiro,Local,3,2.0,0,5.420534999272286,21.75288525412757
Engativa,Casa,4,2.0,1,5.225746673713202,20.233613143013155
San Patricio,Local,3,2.0,0,5.393627546352362,21.86571947728484
Engativa,Casa,4,5.0,1,5.6240175061873385,21.12739672204144
Teusaquillo,Casa,8,6.0,1,5.6240175061873385,21.401299379696308
Teusaquillo,Casa,5,2.0,0,5.814130531825066,20.96018068713675
Bosa,Casa,7,6.0,0,5.6240175061873385,20.030118656386467
Bosa,Casa,2,1.0,0,5.6240175061873385,18.890684373198102
El Chicó,Apartamento,3,4.0,0,4.6913478822291435,20.584003769612902
Chapinero Central,Apartamento,3,2.0,0,4.553876891600541,19.97903586615715
Suba,Casa,4,3.0,1,6.214608098422191,21.02337042939675
Usaquén,Apartamento,3,3.0,1,5.6240175061873385,20.940793649474987
Bosa,Casa,6,5.0,0,5.6240175061873385,20.337603356134426
Villa Alsacia,Casa,3,3.0,1,5.6240175061873385,20.36659089300768
Kennedy,Casa,4,3.0,0,5.6240175061873385,20.40855509210671
Usaquén,Local,3,2.0,0,4.969813299576001,21.734866748624892
Santa Fe,Oficina,9,3.0,0,5.0238805208462765,19.781657297087968
El Chicó,Oficina,3,2.0,0,4.110873864173311,20.245230036003413
Quinta Camacho,Oficina,3,2.0,0,5.393627546352362,21.31473213479915
Quinta Camacho,Oficina,3,6.0,0,5.993961427306569,21.901613481444933
San Patricio,Oficina,3,1.0,0,3.6888794541139363,19.92475814072864
Usaquén,Oficina,3,2.0,0,4.983606621708336,21.193269466192145
Usaquén,Oficina,3,3.0,0,5.556828061699537,22.03159865659659
Chico Reservado,Oficina,3,1.0,0,5.0106352940962555,21.128730945054574
Chico Norte Ii,Oficina,3,1.0,0,5.0369526024136295,21.161520767877565
Tunjuelito,Oficina,3,3.0,0,4.718498871295094,20.76917471132707
Usaquén,Oficina,3,2.0,0,4.962844630259907,21.50259071374741
Chico Norte,Oficina,3,1.0,0,4.127134385045092,20.009915949068947
Barrancas,Oficina,3,2.0,0,5.176149732573829,21.148533572350754
Chapinero,Oficina,3,2.0,0,4.0943445622221,20.125428836190792
Usaquén,Apartamento,3,3.0,0,5.170483995038151,21.059738073567623
Ciudad Bolívar,Local,3,2.0,0,4.919980925828125,20.983705173004317
Ciudad Bolívar,Local,3,2.0,0,5.0369526024136295,21.407372272854207
Ciudad Bolívar,Local,3,2.0,0,4.919980925828125,20.983705173004317
Ciudad Bolívar,Local,3,2.0,0,5.0369526024136295,21.407372272854207
Ciudad Bolívar,Local,3,2.0,0,6.432940092739179,21.77757786671794
Usaquén,Apartamento,3,4.0,0,5.723585101952381,21.854667948437513
Teusaquillo,Local,3,2.0,0,4.859812404361672,21.987957376307055
Chico Norte Ii,Oficina,3,1.0,0,4.465908118654584,20.536936258754917
Cerros De Suba,Casa,4,5.0,1,5.703782474656201,21.46520318167579
Chico Norte,Oficina,3,2.0,0,3.970291913552122,19.755681810684706
Centro Internacional,Oficina,3,3.0,0,5.37989735354046,20.98716738073279
Bosque De Pinos,Oficina,3,2.0,0,4.532599493153256,20.650695144111577
Engativa,Local,3,2.0,0,4.787491742782046,20.524814898222573
Tunjuelito,Local,3,3.0,0,5.6937321388027,20.503491603101804
Ciudad Bolívar,Local,3,2.0,0,5.262690188904886,21.94409575833877
Ciudad Bolívar,Local,3,2.0,0,4.976733742420574,21.53419605316274
La Calleja,Apartamento,3,3.0,1,4.941642422609304,20.661390433228323
Cerros De Suba,Casa,3,4.0,1,5.579729825986222,21.059738073567623
Usaquén,Apartamento,3,4.0,0,5.84354441703136,21.990213440433735
El Chicó,Apartamento,4,5.0,1,5.799092654460526,21.78797657393884
Engativa,Apartamento,3,3.0,1,4.564348191467836,20.536936258754917
Usaquén,Apartamento,1,1.0,0,3.367295829986474,19.83166771766263
Suba,Casa,4,6.0,1,5.777652323222656,21.745716764648957
Suba,Apartamento,3,4.0,0,4.990432586778736,20.970125914877936
Santa Barbara,Apartamento,3,4.0,1,5.2574953720277815,21.02337042939675
Chapinero,Oficina,10,6.0,0,5.4680601411351315,21.917188305418847
Santa Barbara,Apartamento,3,4.0,1,5.501258210544727,21.598734574300313
El Retiro,Oficina,3,2.0,0,5.8998973535824915,21.932226182783385
Metropolis,Local,3,2.0,0,2.833213344056216,20.235505486111418
Ciudad Bolívar,Local,3,2.0,0,5.6240175061873385,21.66092659455676
Ciudad Bolívar,Local,3,2.0,0,4.969813299576001,21.416413017506358
Ciudad Bolívar,Local,3,2.0,0,4.997212273764115,21.41691289254801
Ciudad Bolívar,Local,3,2.0,0,4.727387818712341,21.078840175441112
Ciudad Bolívar,Local,3,2.0,0,4.941642422609304,21.2953746891293
Metropolis,Local,3,2.0,0,2.9444389791664403,19.991377828070036
Metropolis,Local,3,2.0,0,3.295836866004329,20.073178145846914
Metropolis,Local,3,2.0,0,3.58351893845611,20.238757521497792
Metropolis,Local,3,2.0,0,2.9444389791664403,20.19563309486404
Ciudad Bolívar,Local,3,2.0,0,4.941642422609304,21.29084979453101
Cabrero,Apartamento,3,4.0,0,5.030437921392435,21.54744127991276
Chapinero,Oficina,1,1.0,1,5.6240175061873385,19.25358986688747
Chapinero,Oficina,3,2.0,0,4.564348191467836,20.090272579206214
Santa Barbara,Apartamento,3,3.0,1,4.867534450455582,20.394761769974377
Las Aguas,Oficina,3,2.0,0,6.396929655216146,21.917188305418847
El Batán,Casa,2,2.0,1,5.480638923341991,20.905587393740365
Usaquén,Apartamento,3,2.0,1,4.248495242049359,19.715407911546766
Santa Barbara,Casa,3,3.0,1,5.652489180268651,21.338451476036646
Puente Aranda,Local,3,2.0,0,5.6240175061873385,20.292482920853956
Barrancas,Oficina,3,2.0,0,4.48863636973214,20.401033726735225
Metropolis,Local,3,2.0,0,3.332204510175204,20.029918636383798
Metropolis,Local,3,2.0,0,3.4657359027997265,20.251660926333702
Ciudad Bolívar,Local,3,2.0,0,4.941642422609304,20.97945724230682
La Calleja,Apartamento,3,3.0,1,5.043425116919247,20.985630101413904
Suba,Apartamento,3,4.0,0,5.288267030694535,21.059738073567623
Santa Barbara,Apartamento,3,4.0,0,5.5909869805108565,21.556174959881517
Santa Barbara,Apartamento,4,6.5,0,5.673323267171493,21.678777281973847
San Patricio,Apartamento,3,3.0,1,4.897839799950911,20.671972542558862
El Chicó,Apartamento,1,1.0,1,5.6240175061873385,19.937242112885613
Chapinero,Oficina,3,4.0,1,5.003946305945459,20.94640938826062
Niza,Casa,4,4.0,1,5.4116460518550396,20.94640938826062
Niza,Casa,4,4.0,1,5.4116460518550396,20.94640938826062
Niza,Casa,4,4.0,1,5.579729825986222,20.94640938826062
Quinta Camacho,Oficina,3,4.0,1,5.6240175061873385,21.365119723118806
Usaquén,Apartamento,3,4.0,1,5.6240175061873385,21.31105250184853
Barrancas,Oficina,3,2.0,1,4.90527477843843,20.94640938826062
Usaquén,Casa,3,3.5,1,5.204006687076795,20.818576016750736
Chapinero Central,Oficina,3,1.0,0,4.59511985013459,20.309415672303807
Santa Barbara,Casa,4,4.0,1,5.8805329864007,21.161520767877565
Usaquén,Apartamento,3,3.0,1,4.882801922586371,20.818576016750736
Colinas De Suba,Apartamento,3,3.0,1,5.0106352940962555,20.612334276239128
Usaquén,Apartamento,3,3.0,1,4.882801922586371,20.818576016750736
El Retiro,Local,3,2.0,0,4.897839799950911,21.598734574300313
Chico Norte,Oficina,3,1.0,0,4.204692619390966,20.380775527999635
Santa Barbara,Apartamento,2,2.0,1,4.634728988229636,20.337603356134426
El Retiro,Apartamento,3,4.0,0,5.10594547390058,21.174341456306628
Suba,Casa,3,3.5,1,5.598421958998375,21.2240411248589
El Virrey,Apartamento,1,2.0,1,4.060443010546419,20.461901072812005
Santa Fe,Oficina,4,2.0,0,3.871201010907891,19.296149481306266
Santa Barbara,Apartamento,4,4.0,1,5.298317366548036,20.905587393740365
Teusaquillo,Apartamento,3,2.0,1,4.727387818712341,20.220739015995115
Chapinero Central,Oficina,3,1.0,0,4.0943445622221,19.25358986688747
Santa Barbara,Apartamento,3,4.0,0,5.472270673671475,21.619353861503047
Barrios Unidos,Apartamento,2,2.0,1,4.356708826689592,20.21244021318042
La Calleja,Casa,4,5.0,1,5.991464547107982,21.31105250184853
Chico Norte,Oficina,3,2.0,1,4.6913478822291435,20.615680626266474
Antonio Nariño,Local,3,1.0,0,5.6240175061873385,19.275096072108433
Bella Suiza,Apartamento,2,3.0,1,4.442651256490317,20.16114691879287
Santa Barbara,Apartamento,3,3.0,1,5.147494476813453,20.60673202069046
El Chicó,Apartamento,3,3.0,1,5.204006687076795,21.115307924722433
El Chicó,Apartamento,3,3.0,1,5.204006687076795,21.115307924722433
Santa Barbara,Oficina,3,1.0,1,4.454347296253507,20.069339369539748
Usaquén,Apartamento,3,3.0,1,5.049856007249537,20.671972542558862
La Candelaria,Apartamento,1,2.0,0,3.6375861597263857,19.879295766651882
Bella Suiza,Apartamento,2,2.0,1,4.110873864173311,19.755681810684706
Usaquén,Oficina,3,2.0,1,5.6240175061873385,20.009915949068947
Chico Norte,Oficina,3,1.0,0,4.248495242049359,20.369443961990086
Santa Teresa,Local,3,1.0,0,3.044522437723423,18.963005034777726
Santa Barbara,Casa,3,3.0,1,5.697093486505405,21.128730945054574
Barrancas,Apartamento,3,3.0,0,4.477336814478207,20.09777730486028
La Calleja,Local,3,1.0,1,3.4965075614664802,20.261230377349854
Santa Barbara,Casa,3,3.0,1,5.697093486505405,21.128730945054574
Barrancas,Apartamento,3,3.0,0,4.477336814478207,20.09777730486028
La Calleja,Local,3,1.0,1,3.4965075614664802,20.261230377349854
Colinas De Suba,Apartamento,3,4.0,0,6.0867747269123065,21.639556568820566
Teusaquillo,Local,3,2.0,0,3.4965075614664802,20.818576016750736
Usaquén,Casa,3,3.0,0,5.537334267018537,21.161520767877565
Marly,Apartamento,3,3.0,1,5.6240175061873385,20.16114691879287
El Chicó,Apartamento,3,3.0,1,5.135798437050262,21.78797657393884
Suba,Casa,4,3.0,0,5.6131281063880705,21.416413017506358
Antonio Nariño,Local,3,2.0,0,5.6240175061873385,20.00893587711856
El Chicó,Oficina,3,1.0,0,5.808142489980444,21.926238140938764
Barrios Unidos,Oficina,3,2.0,1,4.804021044733257,21.08790895053432
Chapinero,Apartamento,3,4.0,0,5.71042701737487,21.886416646752092
El Chicó,Oficina,3,1.0,0,4.700480365792417,20.5001222856322
Barrancas,Oficina,3,2.0,0,4.454347296253507,19.974605946456208
Barrancas,Apartamento,2,2.0,0,4.189654742026425,19.92475814072864
Ciudad Bolívar,Local,3,2.0,1,5.2574953720277815,21.538630650230605
Ciudad Bolívar,Local,3,2.0,1,4.875197323201151,21.161520767877565
Chico Norte Ii,Oficina,1,2.0,1,4.07753744390572,20.21244021318042
Santa Barbara,Local,2,4.0,1,5.303304908059076,21.97602880544178
Cedritos,Local,3,2.0,0,4.382026634673881,20.5001222856322
Antonio Nariño,Local,3,2.0,0,5.6240175061873385,21.059738073567623
Chapinero,Apartamento,3,4.0,0,5.883322388488279,21.932226182783385
Chapinero,Apartamento,3,3.0,0,6.077642243349034,21.80507100729814
Fontibón,Local,3,2.0,0,4.143134726391533,19.83166771766263
Suba,Casa,3,4.0,1,6.059123195581797,21.51172319731068
Marly,Local,1,9.0,1,6.486160788944089,21.556174959881517
Parque Central Bavaria,Oficina,3,2.0,0,3.6635616461296463,19.450300161133523
Chapinero,Apartamento,4,4.0,0,6.152732694704104,21.886416646752092
Marly,Local,3,4.0,0,5.6240175061873385,21.094829393378895
Suba,Casa,4,6.0,1,5.768320995793772,21.77058483122697
Barrios Unidos,Local,3,1.0,0,6.214608098422191,21.82187812561452
Barrios Unidos,Oficina,1,1.0,1,5.6240175061873385,20.107079697522593
Usaquén,Apartamento,2,3.0,1,4.553876891600541,21.02337042939675
Suba,Casa,4,5.0,1,6.1070228877422545,21.635548547423028
Suba,Casa,3,3.0,0,4.919980925828125,20.524814898222573
El Virrey,Oficina,3,1.0,1,4.189654742026425,19.6146032124248
Chico Norte,Oficina,3,1.0,0,4.564348191467836,20.985630101413904
El Chicó,Oficina,3,2.0,0,4.7535901911063645,20.905587393740365
Chico Norte,Oficina,3,4.0,0,5.598421958998375,21.716517609956693
El Chicó,Oficina,3,1.0,0,4.812184355372417,21.09551881084846
El Chicó,Oficina,3,1.0,0,4.248495242049359,20.595432465436527
El Retiro,Oficina,3,3.0,0,6.040254711277414,21.264135582060778
Suba,Casa,3,4.0,1,5.849324779946859,21.69782547694454
Suba,Casa,4,3.0,1,4.890349128221754,20.671972542558862
Niza,Apartamento,3,2.0,1,4.787491742782046,20.210772156079724
El Chicó,Oficina,3,1.0,0,3.8501476017100584,19.92475814072864
Chapinero,Apartaestudio,1,2.5,1,4.007333185232471,19.879295766651882
Cofradía,Oficina,3,1.0,1,5.6240175061873385,20.401682212818947
Alameda,Oficina,3,2.0,0,5.717027701406222,20.548912449801634
Chapinero,Apartamento,3,4.0,0,5.831882477283517,21.598734574300313
Teusaquillo,Oficina,3,5.0,1,6.396929655216146,21.82187812561452
Barrios Unidos,Local,2,3.0,0,5.049856007249537,20.524814898222573
Quinta Camacho,Local,3,2.0,0,5.6240175061873385,21.82187812561452
El Chicó,Oficina,3,1.0,0,4.605170185988092,20.560746907448635
Barrios Unidos,Oficina,3,1.0,0,3.295836866004329,19.535822334571687
Chapinero,Oficina,1,1.0,0,3.044522437723423,18.643824295266576
Fontibón,Apartamento,2,1.0,0,3.4965075614664802,18.99729410825636
Usaquén,Oficina,3,1.0,0,4.356708826689592,20.21244021318042
Usaquén,Oficina,3,1.0,0,3.367295829986474,19.25358986688747
Santa Barbara,Oficina,1,1.0,0,5.3471075307174685,21.97602880544178
El Virrey,Apartamento,3,4.0,0,5.4680601411351315,21.97602880544178
Centro Internacional,Local,3,1.0,1,5.605802066295998,21.51172319731068
Chico Norte Ii,Oficina,3,1.0,0,3.6888794541139363,19.108815382688768
Quinta Camacho,Oficina,3,2.0,1,4.31748811353631,19.67344371244773
Chico Norte,Oficina,3,2.0,1,4.465908118654584,20.72326583694641
Portales Del Norte,Oficina,2,2.0,0,3.5263605246161616,19.67344371244773
Usaquén,Apartamento,4,6.0,1,5.356586274672012,21.2240411248589
El Chicó,Oficina,3,1.0,1,4.718498871295094,20.60673202069046
Germania,Local,3,2.0,0,4.976733742420574,21.2240411248589
Niza,Casa,6,3.0,1,5.6240175061873385,20.89721914406985
Bosque De Pinos,Oficina,3,2.0,0,4.812184355372417,20.692806629461703
El Chicó,Apartamento,3,3.5,1,5.332718793265369,21.242059630361577
Chico Reservado,Oficina,3,1.0,0,5.093750200806762,21.02337042939675
Teusaquillo,Apartamento,4,4.5,1,5.123963979403259,20.70306312962889
Galerias,Apartamento,3,3.0,1,4.68213122712422,20.245230036003413
Chapinero,Oficina,1,1.0,0,3.7376696182833684,19.879295766651882
Fontibón,Oficina,3,1.0,1,4.6913478822291435,20.805843858455553
Chapinero Alto,Local,3,2.0,1,4.718498871295094,21.228877893659515
El Chicó,Oficina,3,2.0,1,4.927253685157205,21.038076576786445
San Patricio,Oficina,3,1.0,0,3.1780538303479458,19.715407911546766
Teusaquillo,Casa,11,5.5,1,5.771441123130016,20.985630101413904
Rafael Uribe Uribe,Local,21,11.0,0,6.476972362889683,20.47480447764791
Marly,Local,1,1.0,0,2.995732273553991,18.643824295266576
Bosque De Pinos,Apartamento,3,5.0,1,5.58724865840025,21.50259071374741
Usaquén,Oficina,1,2.0,1,5.062595033026967,21.095185418959783
Fontibón,Oficina,3,1.0,1,4.770684624465665,21.059738073567623
San Diego,Local,3,2.0,1,5.214935757608986,21.059738073567623
El Chicó,Oficina,3,1.0,0,4.564348191467836,20.17256107264473
Chico Norte Ii,Apartamento,2,3.0,1,5.087596335232384,20.524814898222573
El Retiro,Local,3,2.0,0,5.860786223465865,21.512046326916867
Usaquén,Oficina,3,1.0,0,3.332204510175204,19.162618088681743
Santa Barbara,Apartamento,3,3.0,1,4.941642422609304,20.560746907448635
Santa Fe,Oficina,2,2.0,0,2.9444389791664403,17.98989782785991
Chico Norte,Oficina,3,2.0,1,5.298317366548036,21.556174959881517
Chico Norte,Oficina,3,1.0,0,4.204692619390966,20.380775527999635
San Diego,Oficina,3,2.0,0,5.7430031878094825,20.86302777932157
Chico Norte Ii,Local,3,3.0,0,5.10594547390058,20.974024555293596
Chapinero,Apartamento,2,3.0,1,5.170483995038151,21.253894088008582
Mazuren,Apartamento,3,2.0,1,4.382026634673881,19.922533445706527
San Patricio,Oficina,3,1.0,1,5.6240175061873385,20.103369118126057
Usaquén,Apartamento,4,5.0,1,5.53338948872752,21.338451476036646
Engativa,Local,3,1.0,0,4.700480365792417,20.05967745862801
La Candelaria,Apartamento,1,1.0,1,3.6109179126442243,19.855765269241687
Usaquén,Apartamento,3,3.0,1,4.6913478822291435,20.51992491292838
Chapinero,Oficina,2,2.0,0,3.4011973816621555,19.519293032620475
Nicolas De Federman,Apartamento,2,2.0,1,4.204692619390966,20.061593619676533
El Plan,Apartamento,3,4.0,1,5.030437921392435,20.985630101413904
Usaquén,Oficina,3,1.0,1,5.6240175061873385,20.548912449801634
Suba,Apartamento,3,4.0,1,4.867534450455582,20.5001222856322
Engativa,Casa,4,4.0,1,5.521460917862246,20.548912449801634
Kennedy,Local,3,2.0,1,5.723585101952381,21.147493162030543
Teusaquillo,Local,13,7.0,0,6.3473892096560105,21.653704414403407
Santa Fe,Oficina,3,2.0,1,6.037870919922137,21.520848874999555
Normandia,Local,3,1.0,0,3.6888794541139363,19.186148586091935
Nicolas De Federman,Apartamento,3,2.0,1,4.795790545596741,20.524229360975436
Galerias,Casa,3,4.0,1,5.857933154483459,21.193269466192145
Puente Aranda,Oficina,3,2.0,0,4.859812404361672,19.333360913584237
Barrios Unidos,Local,3,7.0,0,5.8377304471659395,21.387499007341713
Alameda,Apartamento,2,2.0,0,4.2626798770413155,19.519293032620475
Barrios Unidos,Local,3,2.0,1,5.384495062789089,20.758920994323127
El Chicó,Apartamento,3,3.0,0,5.631211781821365,21.51172319731068
Fontibón,Apartamento,3,2.0,1,4.574710978503383,20.322788270349285
Chico Norte Ii,Oficina,3,2.0,0,3.4965075614664802,19.502485914304096
Los Mártires,Casa,5,3.0,1,5.5053315359323625,20.617905321288585
La Candelaria,Casa,7,10.0,0,6.278521424165844,21.75288525412757
Teusaquillo,Casa,4,4.5,1,5.056245805348308,21.128730945054574
Ciudad Bolívar,Local,3,2.0,0,4.553876891600541,21.49614798552521
Nicolas De Federman,Apartaestudio,1,1.0,1,3.8918202981106265,19.81444711991096
Usaquén,Oficina,3,1.0,0,4.605170185988092,21.095185418959783
Cedritos,Oficina,1,1.0,1,3.2188758248682006,19.946737047447414
El Chicó,Apartamento,3,3.0,0,5.631211781821365,21.51172319731068
Fontibón,Apartamento,3,2.0,1,4.574710978503383,20.322788270349285
Chico Norte Ii,Oficina,3,2.0,0,3.4965075614664802,19.502485914304096
Cedritos,Casa,7,6.0,0,5.552959584921617,20.985630101413904
Los Mártires,Casa,5,3.0,1,5.5053315359323625,20.617905321288585
Bosque De Pinos,Apartamento,3,4.5,1,5.220355825078324,20.70306312962889
La Candelaria,Casa,7,10.0,0,6.278521424165844,21.75288525412757
Rafael Uribe Uribe,Casa,6,5.0,1,5.480638923341991,20.169880598761626
Teusaquillo,Casa,4,4.5,1,5.056245805348308,21.128730945054574
Ciudad Bolívar,Local,3,2.0,0,4.553876891600541,21.49614798552521
Nicolas De Federman,Apartaestudio,1,1.0,1,3.8918202981106265,19.81444711991096
Usaquén,Oficina,3,1.0,0,4.605170185988092,21.095185418959783
Cedritos,Oficina,1,1.0,1,3.2188758248682006,19.946737047447414
Usaquén,Oficina,3,1.0,0,3.970291913552122,19.946737047447414
Modelia,Apartamento,3,2.0,1,4.442651256490317,20.08838756451044
Ciudad Bolívar,Local,3,2.0,0,4.948759890378168,21.751097943553475
Ciudad Bolívar,Local,3,2.0,0,3.5263605246161616,20.527824875886456
La Granja,Casa,3,2.0,0,5.6240175061873385,19.519293032620475
Rafael Uribe Uribe,Local,3,2.0,0,5.5909869805108565,21.488268454606786
Bella Suiza,Apartamento,3,3.5,1,5.6240175061873385,20.44882899124465
Nicolas De Federman,Apartaestudio,1,1.0,1,3.912023005428146,19.799446838651466
Nicolas De Federman,Apartamento,1,1.0,1,3.8918202981106265,19.799446838651466
Chapinero,Apartamento,3,3.0,1,5.634789603169249,21.365119723118806
Teusaquillo,Casa,9,3.5,1,5.298317366548036,20.680358335935136
El Chicó,Local,3,2.0,0,5.288267030694535,21.44421383851079
Chapinero,Apartamento,3,3.0,0,5.41610040220442,21.12204195690378
Chico Norte Ii,Oficina,3,2.0,0,4.605170185988092,21.555918612244657
Cedritos,Casa,3,4.5,1,4.90527477843843,20.36659089300768
Teusaquillo,Casa,3,3.0,1,5.420534999272286,20.70306312962889
Bella Suiza,Apartamento,4,5.0,1,5.3981627015177525,20.905587393740365
Usaquén,Apartamento,3,3.0,1,4.90527477843843,20.70306312962889
Usaquén,Apartamento,4,2.0,0,4.356708826689592,19.6146032124248
Santa Barbara,Casa,4,4.0,1,6.194405391104672,21.193269466192145
El Chicó,Apartamento,3,4.0,0,5.153291594497779,21.45081444422369
Bella Suiza,Apartamento,3,2.0,1,4.574710978503383,20.14344734169347
Fontibón,Apartamento,3,2.0,0,4.382026634673881,20.671972542558862
Nueva Zelandia,Casa,6,4.0,1,5.616771097666572,20.292482920853956
Centro Internacional,Oficina,3,1.0,1,5.6240175061873385,19.67344371244773
