price,location,type,bedrooms,bathrooms,area,parking
$ 3.490.000.000,"San Cristobal, Zona Sur, Bogotá D.C, Cundinamarca",Local comercial en Venta en San Cristobal,,,842 m²,
$ 950.000.000,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Casa en Venta en Suba,,,281 m²,
$ 2.800.000.000,"Ricaurte, Los Mártires, Zona Centro, Bogotá D.C, Cundinamarca",Local comercial en Venta en Ricaurte,,,215 m²,
$ 1.350.000.000,"Cerros De Suba, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Casa en Venta en Cerros De Suba,4 habitaciones,4 baños,310 m²,Parqueadero
$ 1.050.000.000,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartamento en Venta en Santa Barbara,4 habitaciones,3 baños,190 m²,Parqueadero
$ 720.000.000,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Casa en Venta en Cedritos,3 habitaciones,4 baños,,Parqueadero
$ 2.500.000.000,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Casa en Venta en Usaquén,4 habitaciones,3 baños,300 m²,Parqueadero
$ 255.000.000,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Casa en Venta en Suba,2 habitaciones,2 baños,80 m²,
$ 640.000.000,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartamento en Venta en Cedritos,3 habitaciones,3 baños,109 m²,
$ 1.250.000.000,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Chapinero,3 habitaciones,3 baños,162 m²,Parqueadero
$ 850.000.000,"San Patricio, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartamento en Venta en San Patricio,3 habitaciones,"2,5 baños",178 m²,Parqueadero
$ 300.000.000,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Oficina en Venta en Santa Barbara,,1 baño,26 m²,
$ 620.000.000,"La Candelaria, Zona Centro, Bogotá D.C, Cundinamarca",Apartamento en Venta en La Candelaria,2 habitaciones,2 baños,124 m²,Parqueadero
$ 590.000.000,"Pablo VI, Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Pablo VI,4 habitaciones,2 baños,132 m²,
